DEBUG 2015-06-25 22:34:35,821 31907ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:34:35 p.m.
DEBUG 2015-06-30 19:27:47,784  8878ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 07:27:47 p.m.
DEBUG 2015-06-30 19:37:03,397 10550ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 07:37:03 p.m.
DEBUG 2015-06-30 19:37:04,131 11284ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 07:37:04 p.m.
DEBUG 2015-06-30 19:37:20,346  4778ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 07:37:20 p.m.
DEBUG 2015-06-30 19:37:20,424  4856ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 07:37:20 p.m.
DEBUG 2015-06-30 19:42:16,689  5577ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 07:42:16 p.m.
DEBUG 2015-06-30 19:42:17,126  6014ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 07:42:17 p.m.
DEBUG 2015-06-30 19:42:28,797 17685ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 07:42:28 p.m.
DEBUG 2015-06-30 19:42:28,812 17700ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 07:42:28 p.m.
DEBUG 2015-06-30 19:46:39,276  5210ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 07:46:39 p.m.
DEBUG 2015-06-30 19:46:39,604  5538ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 07:46:39 p.m.
DEBUG 2015-06-30 20:13:58,849  4985ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:13:58 p.m.
DEBUG 2015-06-30 20:13:59,209  5344ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:13:59 p.m.
DEBUG 2015-06-30 20:23:14,808  7047ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:23:14 p.m.
DEBUG 2015-06-30 20:23:15,511  7750ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:23:15 p.m.
DEBUG 2015-06-30 20:41:08,299  9332ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:41:08 p.m.
DEBUG 2015-06-30 20:41:08,924  9957ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:41:08 p.m.
DEBUG 2015-06-30 20:45:11,424  6333ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:45:11 p.m.
DEBUG 2015-06-30 20:45:12,110  7019ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:45:12 p.m.
DEBUG 2015-06-30 20:51:47,709 11019ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 08:51:47 p.m.
DEBUG 2015-06-30 20:51:48,350 11659ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 08:51:48 p.m.
DEBUG 2015-06-30 21:00:02,558  6036ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 09:00:02 p.m.
